,TENID,TYPE,SURVSTATUS,TENSTATUS,HOLDERCNT,HOLDER1,HOLDER2,HOLDER3,HOLDER4,HOLDER5,HOLDER6,HOLDER7,HOLDER8,HOLDER9,FMT_TENID,LEGAL_AREA,SPECIAL_IND,_merge
324,E  0402767,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG RESOURCES PTY LTD, , , , , , , , ,E 04/2767,200.0, ,left_only
325,E  0402768,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG RESOURCES PTY LTD, , , , , , , , ,E 04/2768,200.0, ,left_only
326,E  0402769,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG RESOURCES PTY LTD, , , , , , , , ,E 04/2769,200.0, ,left_only
327,E  0402770,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG RESOURCES PTY LTD, , , , , , , , ,E 04/2770,200.0, ,left_only
328,E  0402771,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG RESOURCES PTY LTD, , , , , , , , ,E 04/2771,200.0, ,left_only
329,E  0402772,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG RESOURCES PTY LTD, , , , , , , , ,E 04/2772,200.0, ,left_only
807,E  0803422,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,POLARIS METALS PTY LTD, , , , , , , , ,E 08/3422,146.0, ,left_only
1123,E  0902609,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,GLOBAL CRITICAL MINERALS PTY LTD, , , , , , , , ,E 09/2609,20.0, ,left_only
1585,E  2000989,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,EV METALS AUSTRALIA PTY LIMITED, , , , , , , , ,E 20/989,14.0, ,left_only
2430,E  2900938,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,TOUCAN GOLD PTY LTD, , , , , , , , ,E 29/938-I,13.0,I,left_only
2563,E  3101134,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,ORECORP HOLDINGS PTY LTD, , , , , , , , ,E 31/1134,8.0, ,left_only
2569,E  3101150,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,ORECORP HOLDINGS PTY LTD, , , , , , , , ,E 31/1150,6.0, ,left_only
6812,E  5203984,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,GOLDEN WHEELBARROW PROSPECTING NO 3 PTY LTD, , , , , , , , ,E 52/3984,54.0, ,left_only
7044,E  5701004,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,GATEWAY MINING LIMITED, , , , , , , , ,E 57/1004,10.0, ,left_only
7845,E  6302135,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,WEST COAST MINERALS PTY LTD, , , , , , , , ,E 63/2135,15.0, ,left_only
8985,E  7005712,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,VENUS METALS CORPORATION LIMITED, , , , , , , , ,E 70/5712,3.0, ,left_only
9008,E  7005738,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,SOUTHERN SKY ENERGY PTY LTD, , , , , , , , ,E 70/5738,2.0, ,left_only
9082,E  7005818,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,FMG PILBARA PTY LTD, , , , , , , , ,E 70/5818,5.0, ,left_only
9095,E  7005833,EXPLORATION LICENCE,UNSURVEYED,LIVE,2,NEWMONT BODDINGTON PTY LTD,SADDLEBACK INVESTMENTS PTY LTD, , , , , , , ,E 70/5833,33.0, ,left_only
9139,E  7005877,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,ST GEORGE MINING LIMITED, , , , , , , , ,E 70/5877,77.0, ,left_only
9226,E  7400687,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FAR WEST METALS LIMITED, , , , , , , , ,E 74/687,53.0, ,left_only
9339,E  7702353,EXPLORATION LICENCE,UNSURVEYED,LIVE,2,CGM (WA) PTY LTD,RAMELIUS RESOURCES LIMITED, , , , , , , ,E 77/2353,39.0, ,left_only
9340,E  7702354,EXPLORATION LICENCE,UNSURVEYED,LIVE,2,CGM (WA) PTY LTD,RAMELIUS RESOURCES LIMITED, , , , , , , ,E 77/2354,55.0, ,left_only
9556,E  7702764,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,WEST AUSTRALIAN PROSPECTORS PTY LTD, , , , , , , , ,E 77/2764,2.0, ,left_only
10002,E  8005524,EXPLORATION LICENCE,UNSURVEYED,LIVE,2,NORVALE PTY LTD,PATHFINDER EXPLORATION PTY LTD, , , , , , , ,E 80/5524,5.0, ,left_only
10138,E  8005685,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,OD3 ARIES PTY LTD, , , , , , , , ,E 80/5685,59.0, ,left_only
10139,E  8005686,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,OD3 ARIES PTY LTD, , , , , , , , ,E 80/5686,29.0, ,left_only
10140,E  8005687,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,OD3 ARIES PTY LTD, , , , , , , , ,E 80/5687,40.0, ,left_only
17763,M  3701364,MINING LEASE,UNSURVEYED,PENDING,1,KIN WEST WA PTY LTD, , , , , , , , ,M 37/1364,143.0, ,left_only
23949,P  2502698,PROSPECTING LICENCE,UNSURVEYED,LIVE,1,MINING EQUITIES PTY LTD, , , , , , , , ,P 25/2698,31.04504, ,left_only
27442,P  4701972,PROSPECTING LICENCE,UNSURVEYED,LIVE,1,KML NO 2 PTY LTD, , , , , , , , ,P 47/1972,150.94515, ,left_only
28129,P  5801901,PROSPECTING LICENCE,UNSURVEYED,PENDING,1,NXT1 PTY LTD, , , , , , , , ,P 58/1901,38.04, ,left_only
28997,MEL7000040,COMMONWEALTH EXPLORATION LICENCE,UNSURVEYED,PENDING,2,QUATERNARY RESOURCES PTY LTD,WIDERANGE CORPORATION PTY LTD, , , , , , , ,WA-40-MEL,44.0, ,left_only
29000,E  0902350,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,BOADICEA RESOURCES LTD, , , , , , , , ,E 09/2350,32.0, ,right_only
29001,E  2000989,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,EV METALS AUSTRALIA PTY LIMITED, , , , , , , , ,E 20/989,14.0, ,right_only
29002,E  2900938,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,TOUCAN GOLD PTY LTD, , , , , , , , ,E 29/938-I,21.0,I,right_only
29003,E  3101134,EXPLORATION LICENCE,UNSURVEYED,LIVE,2,DISCOVEX RESOURCES LIMITED,GATEWAY PROJECTS WA PTY LTD, , , , , , , ,E 31/1134,8.0, ,right_only
29004,E  3101150,EXPLORATION LICENCE,UNSURVEYED,LIVE,2,DISCOVEX RESOURCES LIMITED,GATEWAY PROJECTS WA PTY LTD, , , , , , , ,E 31/1150,6.0, ,right_only
29005,E  4505490,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,ATLAS IRON PTY LTD, , , , , , , , ,E 45/5490,23.0, ,right_only
29006,E  4601331,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,ATLAS IRON PTY LTD, , , , , , , , ,E 46/1331,14.0, ,right_only
29007,E  5701004,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,GATEWAY MINING LIMITED, , , , , , , , ,E 57/1004,16.0, ,right_only
29008,E  6301938,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,BOADICEA RESOURCES LTD, , , , , , , , ,E 63/1938,10.0, ,right_only
29009,E  7005712,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,VENUS METALS CORPORATION LIMITED, , , , , , , , ,E 70/5712,3.0, ,right_only
29010,E  7005738,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,SOUTHERN SKY ENERGY PTY LTD, , , , , , , , ,E 70/5738,2.0, ,right_only
29011,E  7005818,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,FMG PILBARA PTY LTD, , , , , , , , ,E 70/5818,5.0, ,right_only
29012,E  7005833,EXPLORATION LICENCE,UNSURVEYED,PENDING,2,NEWMONT BODDINGTON PTY LTD,SADDLEBACK INVESTMENTS PTY LTD, , , , , , , ,E 70/5833,33.0, ,right_only
29013,E  7702353,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,CGM (WA) PTY LTD, , , , , , , , ,E 77/2353,39.0, ,right_only
29014,E  7702354,EXPLORATION LICENCE,UNSURVEYED,LIVE,1,CGM (WA) PTY LTD, , , , , , , , ,E 77/2354,55.0, ,right_only
29015,E  7702764,EXPLORATION LICENCE,UNSURVEYED,PENDING,1,WEST AUSTRALIAN PROSPECTORS PTY LTD, , , , , , , , ,E 77/2764,2.0, ,right_only
29016,E  8005524,EXPLORATION LICENCE,UNSURVEYED,PENDING,2,NORVALE PTY LTD,PATHFINDER EXPLORATION PTY LTD, , , , , , , ,E 80/5524,5.0, ,right_only
29017,P  2502698,PROSPECTING LICENCE,UNSURVEYED,PENDING,1,MINING EQUITIES PTY LTD, , , , , , , , ,P 25/2698,31.1, ,right_only
29018,P  3102149,PROSPECTING LICENCE,UNSURVEYED,PENDING,1,BOLDA PTY LTD, , , , , , , , ,P 31/2149-S,7.58,S,right_only
29019,P  3601785,PROSPECTING LICENCE,UNSURVEYED,LIVE,2,"LAW, MARTIN JOHN","STEIN, MURRAY JAMES", , , , , , , ,P 36/1785,120.7, ,right_only
